Title,Artist
A Night in Tunisia,Dizzy Gillespie
All Blues,Miles Davis
Anthropology,Charlie Parker
Bang Bang,Dizzy Gillespie
Bebop,Dizzy Gillespie
Bitches Brew,Miles Davis
Blue In Green,Miles Davis
Blue Monk,Thelonious Monk
Blue Train,John Coltrane
Bye Bye Blackbird,John Coltrane
Caravan,Duke Ellington
Diminuendo & Crescendo in Blue,Duke Ellington
Donna Lee,Charlie Parker
Epistrophy,Thelonious Monk
Flamenco Sketches,Miles Davis
Freddie Freeloader,Miles Davis
Giant Steps,John Coltrane
How High The Moon,Ella Fitzgerald
It Don't Mean A Thing,Duke Ellington
Koko,Charlie Parker
Mack the Knife,Ella Fitzgerald
Manteca,Dizzy Gillespie
Milestones,Miles Davis
Misterioso,Thelonious Monk
Mood Indigo,Duke Ellington
My Favorite Things,John Coltrane
Naima,John Coltrane
Now's The Time,Charlie Parker
On Green Dolphin Street,Miles Davis
Out of Nowhere,Charlie Parker
Potato Head Blues,Louis Armstrong
Round Midnight,Thelonious Monk
Salt Peanuts,Dizzy Gillespie
Satin Doll,Duke Ellington
So What,Miles Davis
Someday My Prince Will Come,Miles Davis
Sophisticated Lady,Duke Ellington
St. Louis Blues,Louis Armstrong
Stardust,Louis Armstrong
Struttin' with Some BBQ,Louis Armstrong
Summertime,Ella Fitzgerald
Take The A Train,Duke Ellington
The Bird,Charlie Parker
West End Blues,Louis Armstrong
What A Wonderful World,Louis Armstrong
